date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:27:15	109087/109087	---M-Z	200	added ('OK')	text/html	date:Sat,%2015%20Apr%202017%2020:41:26%20GMT	https://demo.dueza.com/spicy-html/spicy/black-color/index.html	C:/My%20Web%20Sites/Spicy/demo.dueza.com/spicy-html/spicy/black-color/index.html	(from )
18:27:16	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2013%20Jan%202023%2010:27:16%20GMT	https://demo.dueza.com/robots.txt		(from )
18:27:16	1175/1175	---M--	200	added ('OK')	image/png	date:Sun,%2023%20Oct%202016%2018:34:44%20GMT	https://demo.dueza.com/spicy-html/spicy/black-color/assets/images/favi.png	C:/My%20Web%20Sites/Spicy/demo.dueza.com/spicy-html/spicy/black-color/assets/images/favi.png	(from https://demo.dueza.com/spicy-html/spicy/black-color/index.html)
18:27:17	121260/121260	---M-Z	200	added ('OK')	text/css	date:Wed,%2025%20Nov%202015%2000:34:20%20GMT	https://demo.dueza.com/spicy-html/spicy/black-color/assets/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/Spicy/demo.dueza.com/spicy-html/spicy/black-color/assets/bootstrap/css/bootstrap.min.css	(from https://demo.dueza.com/spicy-html/spicy/black-color/index.html)
18:27:18	8362/8362	---M-Z	200	added ('OK')	text/css	date:Sat,%2022%20Oct%202016%2018:00:38%20GMT	https://demo.dueza.com/spicy-html/spicy/black-color/assets/fonts/linear-fonts.css	C:/My%20Web%20Sites/Spicy/demo.dueza.com/spicy-html/spicy/black-color/assets/fonts/linear-fonts.css	(from https://demo.dueza.com/spicy-html/spicy/black-color/index.html)
18:27:18	33233/33233	---M-Z	200	added ('OK')	text/css	date:Sun,%2010%20Jan%202016%2023:39:42%20GMT	https://demo.dueza.com/spicy-html/spicy/black-color/assets/fonts/font-awesome.css	C:/My%20Web%20Sites/Spicy/demo.dueza.com/spicy-html/spicy/black-color/assets/fonts/font-awesome.css	(from https://demo.dueza.com/spicy-html/spicy/black-color/index.html)
18:27:19	1478/1478	---M-Z	200	added ('OK')	text/css	date:Tue,%2031%20Mar%202015%2001:59:22%20GMT	https://demo.dueza.com/spicy-html/spicy/black-color/assets/owlcarousel/css/owl.carousel.css	C:/My%20Web%20Sites/Spicy/demo.dueza.com/spicy-html/spicy/black-color/assets/owlcarousel/css/owl.carousel.css	(from https://demo.dueza.com/spicy-html/spicy/black-color/index.html)
18:27:19	1662/1662	---M-Z	200	added ('OK')	text/css	date:Thu,%2024%20Dec%202015%2020:27:48%20GMT	https://demo.dueza.com/spicy-html/spicy/black-color/assets/owlcarousel/css/owl.theme.css	C:/My%20Web%20Sites/Spicy/demo.dueza.com/spicy-html/spicy/black-color/assets/owlcarousel/css/owl.theme.css	(from https://demo.dueza.com/spicy-html/spicy/black-color/index.html)
18:27:20	2800/2800	---M-Z	200	added ('OK')	text/css	date:Mon,%2014%20Dec%202015%2002:20:30%20GMT	https://demo.dueza.com/spicy-html/spicy/black-color/assets/css/lightbox.min.css	C:/My%20Web%20Sites/Spicy/demo.dueza.com/spicy-html/spicy/black-color/assets/css/lightbox.min.css	(from https://demo.dueza.com/spicy-html/spicy/black-color/index.html)
18:27:20	6951/6951	---M-Z	200	added ('OK')	text/css	date:Sat,%2020%20Feb%202016%2006:06:30%20GMT	https://demo.dueza.com/spicy-html/spicy/black-color/assets/css/magnific-popup.css	C:/My%20Web%20Sites/Spicy/demo.dueza.com/spicy-html/spicy/black-color/assets/css/magnific-popup.css	(from https://demo.dueza.com/spicy-html/spicy/black-color/index.html)
18:27:20	54877/54877	---M-Z	200	added ('OK')	text/css	date:Tue,%2024%20Jun%202014%2015:48:00%20GMT	https://demo.dueza.com/spicy-html/spicy/black-color/assets/css/animate.min.css	C:/My%20Web%20Sites/Spicy/demo.dueza.com/spicy-html/spicy/black-color/assets/css/animate.min.css	(from https://demo.dueza.com/spicy-html/spicy/black-color/index.html)
18:27:21	37049/37049	---M-Z	200	added ('OK')	text/css	date:Sat,%2015%20Apr%202017%2021:58:14%20GMT	https://demo.dueza.com/spicy-html/spicy/black-color/assets/css/style.css	C:/My%20Web%20Sites/Spicy/demo.dueza.com/spicy-html/spicy/black-color/assets/css/style.css	(from https://demo.dueza.com/spicy-html/spicy/black-color/index.html)
18:27:21	5695/5695	---M-Z	200	added ('OK')	text/css	date:Sat,%2018%20Mar%202017%2023:38:38%20GMT	https://demo.dueza.com/spicy-html/spicy/black-color/assets/css/responsive.css	C:/My%20Web%20Sites/Spicy/demo.dueza.com/spicy-html/spicy/black-color/assets/css/responsive.css	(from https://demo.dueza.com/spicy-html/spicy/black-color/index.html)
18:27:22	101920/101920	---M--	200	added ('OK')	image/jpeg	date:Wed,%2015%20Mar%202017%2008:27:18%20GMT	https://demo.dueza.com/spicy-html/spicy/black-color/assets/images/about/1.jpg	C:/My%20Web%20Sites/Spicy/demo.dueza.com/spicy-html/spicy/black-color/assets/images/about/1.jpg	(from https://demo.dueza.com/spicy-html/spicy/black-color/index.html)
18:27:23	114299/114299	---M--	200	added ('OK')	image/jpeg	date:Wed,%2015%20Mar%202017%2008:25:42%20GMT	https://demo.dueza.com/spicy-html/spicy/black-color/assets/images/team/1.jpg	C:/My%20Web%20Sites/Spicy/demo.dueza.com/spicy-html/spicy/black-color/assets/images/team/1.jpg	(from https://demo.dueza.com/spicy-html/spicy/black-color/index.html)
18:27:24	102136/102136	---M--	200	added ('OK')	image/jpeg	date:Wed,%2015%20Mar%202017%2008:26:02%20GMT	https://demo.dueza.com/spicy-html/spicy/black-color/assets/images/team/2.jpg	C:/My%20Web%20Sites/Spicy/demo.dueza.com/spicy-html/spicy/black-color/assets/images/team/2.jpg	(from https://demo.dueza.com/spicy-html/spicy/black-color/index.html)
18:27:25	82779/82779	---M--	200	added ('OK')	image/jpeg	date:Wed,%2015%20Mar%202017%2008:31:24%20GMT	https://demo.dueza.com/spicy-html/spicy/black-color/assets/images/team/3.jpg	C:/My%20Web%20Sites/Spicy/demo.dueza.com/spicy-html/spicy/black-color/assets/images/team/3.jpg	(from https://demo.dueza.com/spicy-html/spicy/black-color/index.html)
18:27:25	70856/70856	---M--	200	added ('OK')	image/jpeg	date:Wed,%2015%20Mar%202017%2008:23:18%20GMT	https://demo.dueza.com/spicy-html/spicy/black-color/assets/images/team/4.jpg	C:/My%20Web%20Sites/Spicy/demo.dueza.com/spicy-html/spicy/black-color/assets/images/team/4.jpg	(from https://demo.dueza.com/spicy-html/spicy/black-color/index.html)
18:27:25	107982/107982	---M--	200	added ('OK')	image/jpeg	date:Wed,%2015%20Mar%202017%2007:20:48%20GMT	https://demo.dueza.com/spicy-html/spicy/black-color/assets/images/menu/1.jpg	C:/My%20Web%20Sites/Spicy/demo.dueza.com/spicy-html/spicy/black-color/assets/images/menu/1.jpg	(from https://demo.dueza.com/spicy-html/spicy/black-color/index.html)
18:27:26	113138/113138	---M--	200	added ('OK')	image/jpeg	date:Wed,%2015%20Mar%202017%2007:19:50%20GMT	https://demo.dueza.com/spicy-html/spicy/black-color/assets/images/menu/2.jpg	C:/My%20Web%20Sites/Spicy/demo.dueza.com/spicy-html/spicy/black-color/assets/images/menu/2.jpg	(from https://demo.dueza.com/spicy-html/spicy/black-color/index.html)
18:27:26	122049/122049	---M--	200	added ('OK')	image/jpeg	date:Wed,%2015%20Mar%202017%2007:20:08%20GMT	https://demo.dueza.com/spicy-html/spicy/black-color/assets/images/menu/3.jpg	C:/My%20Web%20Sites/Spicy/demo.dueza.com/spicy-html/spicy/black-color/assets/images/menu/3.jpg	(from https://demo.dueza.com/spicy-html/spicy/black-color/index.html)
18:27:26	93519/93519	---M--	200	added ('OK')	image/jpeg	date:Wed,%2015%20Mar%202017%2007:19:58%20GMT	https://demo.dueza.com/spicy-html/spicy/black-color/assets/images/menu/4.jpg	C:/My%20Web%20Sites/Spicy/demo.dueza.com/spicy-html/spicy/black-color/assets/images/menu/4.jpg	(from https://demo.dueza.com/spicy-html/spicy/black-color/index.html)
18:27:27	78814/78814	---M--	200	added ('OK')	image/jpeg	date:Wed,%2015%20Mar%202017%2007:20:16%20GMT	https://demo.dueza.com/spicy-html/spicy/black-color/assets/images/menu/5.jpg	C:/My%20Web%20Sites/Spicy/demo.dueza.com/spicy-html/spicy/black-color/assets/images/menu/5.jpg	(from https://demo.dueza.com/spicy-html/spicy/black-color/index.html)
18:27:27	91406/91406	---M--	200	added ('OK')	image/jpeg	date:Wed,%2015%20Mar%202017%2007:20:36%20GMT	https://demo.dueza.com/spicy-html/spicy/black-color/assets/images/menu/6.jpg	C:/My%20Web%20Sites/Spicy/demo.dueza.com/spicy-html/spicy/black-color/assets/images/menu/6.jpg	(from https://demo.dueza.com/spicy-html/spicy/black-color/index.html)
18:27:28	107982/107982	---M--	200	added ('OK')	image/jpeg	date:Wed,%2015%20Mar%202017%2007:20:48%20GMT	https://demo.dueza.com/spicy-html/spicy/black-color/assets/images/portfolio/project1.jpg	C:/My%20Web%20Sites/Spicy/demo.dueza.com/spicy-html/spicy/black-color/assets/images/portfolio/project1.jpg	(from https://demo.dueza.com/spicy-html/spicy/black-color/index.html)
18:27:28	78814/78814	---M--	200	added ('OK')	image/jpeg	date:Wed,%2015%20Mar%202017%2007:20:16%20GMT	https://demo.dueza.com/spicy-html/spicy/black-color/assets/images/portfolio/project2.jpg	C:/My%20Web%20Sites/Spicy/demo.dueza.com/spicy-html/spicy/black-color/assets/images/portfolio/project2.jpg	(from https://demo.dueza.com/spicy-html/spicy/black-color/index.html)
18:27:29	113138/113138	---M--	200	added ('OK')	image/jpeg	date:Wed,%2015%20Mar%202017%2007:19:50%20GMT	https://demo.dueza.com/spicy-html/spicy/black-color/assets/images/portfolio/project3.jpg	C:/My%20Web%20Sites/Spicy/demo.dueza.com/spicy-html/spicy/black-color/assets/images/portfolio/project3.jpg	(from https://demo.dueza.com/spicy-html/spicy/black-color/index.html)
18:27:29	122049/122049	---M--	200	added ('OK')	image/jpeg	date:Wed,%2015%20Mar%202017%2007:20:08%20GMT	https://demo.dueza.com/spicy-html/spicy/black-color/assets/images/portfolio/project4.jpg	C:/My%20Web%20Sites/Spicy/demo.dueza.com/spicy-html/spicy/black-color/assets/images/portfolio/project4.jpg	(from https://demo.dueza.com/spicy-html/spicy/black-color/index.html)
18:27:29	93519/93519	---M--	200	added ('OK')	image/jpeg	date:Wed,%2015%20Mar%202017%2007:19:58%20GMT	https://demo.dueza.com/spicy-html/spicy/black-color/assets/images/portfolio/project5.jpg	C:/My%20Web%20Sites/Spicy/demo.dueza.com/spicy-html/spicy/black-color/assets/images/portfolio/project5.jpg	(from https://demo.dueza.com/spicy-html/spicy/black-color/index.html)
18:27:31	91406/91406	---M--	200	added ('OK')	image/jpeg	date:Wed,%2015%20Mar%202017%2007:20:36%20GMT	https://demo.dueza.com/spicy-html/spicy/black-color/assets/images/portfolio/project6.jpg	C:/My%20Web%20Sites/Spicy/demo.dueza.com/spicy-html/spicy/black-color/assets/images/portfolio/project6.jpg	(from https://demo.dueza.com/spicy-html/spicy/black-color/index.html)
18:27:31	52785/52785	---M--	200	added ('OK')	image/jpeg	date:Sat,%2027%20Aug%202016%2019:15:38%20GMT	https://demo.dueza.com/spicy-html/spicy/black-color/assets/images/testimonial/1.jpg	C:/My%20Web%20Sites/Spicy/demo.dueza.com/spicy-html/spicy/black-color/assets/images/testimonial/1.jpg	(from https://demo.dueza.com/spicy-html/spicy/black-color/index.html)
18:27:31	47518/47518	---M--	200	added ('OK')	image/jpeg	date:Sat,%2027%20Aug%202016%2019:15:38%20GMT	https://demo.dueza.com/spicy-html/spicy/black-color/assets/images/testimonial/2.jpg	C:/My%20Web%20Sites/Spicy/demo.dueza.com/spicy-html/spicy/black-color/assets/images/testimonial/2.jpg	(from https://demo.dueza.com/spicy-html/spicy/black-color/index.html)
18:27:31	40021/40021	---M--	200	added ('OK')	image/jpeg	date:Sat,%2027%20Aug%202016%2019:15:38%20GMT	https://demo.dueza.com/spicy-html/spicy/black-color/assets/images/testimonial/3.jpg	C:/My%20Web%20Sites/Spicy/demo.dueza.com/spicy-html/spicy/black-color/assets/images/testimonial/3.jpg	(from https://demo.dueza.com/spicy-html/spicy/black-color/index.html)
18:27:32	17325/17325	---M-Z	200	added ('OK')	text/html	date:Sat,%2015%20Apr%202017%2021:34:22%20GMT	https://demo.dueza.com/spicy-html/spicy/black-color/single-blog.html	C:/My%20Web%20Sites/Spicy/demo.dueza.com/spicy-html/spicy/black-color/single-blog.html	(from https://demo.dueza.com/spicy-html/spicy/black-color/index.html)
18:27:32	396713/396713	---M--	200	added ('OK')	image/jpeg	date:Wed,%2015%20Mar%202017%2007:31:34%20GMT	https://demo.dueza.com/spicy-html/spicy/black-color/assets/images/blog/blog1.jpg	C:/My%20Web%20Sites/Spicy/demo.dueza.com/spicy-html/spicy/black-color/assets/images/blog/blog1.jpg	(from https://demo.dueza.com/spicy-html/spicy/black-color/index.html)
